cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
13825,-34.23974,-18.95697,-15.28277,-6.48831,-8.22204,-0.57242,0.9447,17.43,0.0181,31.54,3.67,0.488,0.506,0.088,0.0099,0.0500
13850,-34.26498,-18.96833,-15.29665,-6.51522,-8.21228,-0.56915,0.9486,17.47,0.0181,31.35,3.78,0.488,0.506,0.088,0.0099,0.0500
13875,-34.22960,-18.91910,-15.31050,-6.49425,-8.25390,-0.56236,0.9456,17.46,0.0181,31.46,3.68,0.488,0.506,0.088,0.0099,0.0500
13900,-34.20123,-18.90150,-15.29973,-6.51363,-8.23810,-0.54800,0.9484,17.32,0.0180,31.09,3.74,0.488,0.506,0.088,0.0099,0.0500
13925,-34.15818,-18.90597,-15.25221,-6.48789,-8.18547,-0.57885,0.9447,17.28,0.0179,31.16,3.94,0.488,0.506,0.088,0.0099,0.0500
13950,-34.24696,-18.91284,-15.33412,-6.51635,-8.25072,-0.56705,0.9488,17.23,0.0179,30.84,4.21,0.488,0.506,0.088,0.0099,0.0500
13975,-34.29505,-18.97169,-15.32336,-6.50683,-8.25138,-0.56515,0.9474,17.35,0.0180,31.06,3.91,0.488,0.506,0.088,0.0099,0.0500
14000,-34.27200,-18.96253,-15.30947,-6.52458,-8.22715,-0.55774,0.9500,17.59,0.0182,30.91,4.14,0.488,0.506,0.093,0.0104,0.0500
14025,-34.22481,-18.91810,-15.30672,-6.49384,-8.22429,-0.58858,0.9455,17.44,0.0181,30.83,3.97,0.488,0.506,0.093,0.0104,0.0500
14050,-34.16143,-18.89314,-15.26828,-6.48117,-8.21578,-0.57133,0.9437,17.37,0.0180,30.65,4.04,0.488,0.506,0.093,0.0104,0.0500
14075,-34.14202,-18.88704,-15.25499,-6.48392,-8.19888,-0.57219,0.9441,17.50,0.0181,30.66,4.22,0.488,0.506,0.093,0.0104,0.0500
14100,-34.21717,-18.93584,-15.28133,-6.49911,-8.21304,-0.56918,0.9463,17.41,0.0180,30.80,4.07,0.488,0.506,0.093,0.0104,0.0500
14125,-34.27258,-18.97668,-15.29590,-6.50840,-8.20737,-0.58013,0.9476,17.51,0.0181,30.77,3.91,0.488,0.506,0.093,0.0104,0.0500
14150,-34.23265,-18.96980,-15.26285,-6.51036,-8.17695,-0.57554,0.9479,17.88,0.0185,30.76,4.03,0.488,0.506,0.093,0.0104,0.0500
14175,-34.32080,-19.02174,-15.29906,-6.50304,-8.21445,-0.58157,0.9469,17.95,0.0186,30.99,3.96,0.488,0.506,0.093,0.0104,0.0500
14200,-34.28872,-19.01529,-15.27343,-6.52305,-8.17190,-0.57848,0.9498,17.74,0.0184,30.87,3.96,0.488,0.506,0.093,0.0104,0.0500
14225,-34.26885,-18.99683,-15.27202,-6.52024,-8.18161,-0.57016,0.9494,-72.43,-0.0751,30.42,4.07,0.488,0.506,0.093,0.0104,0.0500
14250,-34.24169,-18.99659,-15.24510,-6.45517,-8.19000,-0.59993,0.9399,-72.35,-0.0750,30.35,3.96,0.488,0.506,0.093,0.0104,0.0500
14275,-34.29970,-19.02514,-15.27456,-6.49359,-8.20265,-0.57832,0.9455,17.67,0.0183,29.72,4.25,0.488,0.506,0.093,0.0104,0.0500
14300,-34.33052,-19.07091,-15.25961,-6.49238,-8.18961,-0.57762,0.9453,-72.39,-0.0750,30.46,3.67,0.488,0.506,0.093,0.0104,0.0500
14325,-34.24108,-18.96798,-15.27311,-6.47004,-8.22786,-0.57520,0.9421,-72.40,-0.0750,29.95,4.30,0.488,0.506,0.093,0.0104,0.0500
14350,-34.29890,-19.01015,-15.28874,-6.50986,-8.19996,-0.57893,0.9479,-72.29,-0.0749,30.11,3.99,0.488,0.506,0.093,0.0104,0.0500
