cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
22450,-49.45759,-29.85859,-19.59900,-6.50875,-12.56282,-0.52743,0.9477,18.34,0.0190,30.02,2.65,0.490,0.501,0.062,0.0069,0.0500
22475,-49.56889,-29.92727,-19.64162,-6.50289,-12.60785,-0.53088,0.9468,18.25,0.0189,30.12,2.52,0.490,0.501,0.062,0.0069,0.0500
22500,-49.48413,-29.91186,-19.57227,-6.50741,-12.54325,-0.52161,0.9475,18.26,0.0189,30.09,2.55,0.490,0.501,0.062,0.0069,0.0500
22525,-49.51166,-29.90684,-19.60482,-6.49701,-12.57626,-0.53155,0.9460,18.10,0.0188,30.09,2.55,0.490,0.501,0.062,0.0069,0.0500
22550,-49.59161,-29.92798,-19.66364,-6.53075,-12.61387,-0.51901,0.9509,18.12,0.0188,30.10,2.59,0.490,0.501,0.062,0.0069,0.0500
22575,-49.57946,-29.98538,-19.59408,-6.48900,-12.56245,-0.54264,0.9448,18.16,0.0188,30.24,2.91,0.490,0.501,0.062,0.0069,0.0500
22600,-49.57098,-29.93103,-19.63994,-6.54651,-12.59174,-0.50170,0.9532,18.22,0.0189,30.23,2.91,0.490,0.501,0.062,0.0069,0.0500
22625,-49.51450,-29.91094,-19.60355,-6.51389,-12.56239,-0.52727,0.9484,18.28,0.0189,30.58,2.26,0.490,0.501,0.062,0.0069,0.0500
22650,-49.51326,-29.91534,-19.59792,-6.50537,-12.56567,-0.52687,0.9472,108.29,0.1122,30.65,1.87,0.490,0.501,0.062,0.0069,0.0500
22675,-49.63151,-30.02072,-19.61079,-6.51733,-12.56830,-0.52516,0.9489,18.40,0.0191,30.38,2.20,0.490,0.501,0.062,0.0069,0.0500
22700,-49.55003,-29.96739,-19.58265,-6.51130,-12.54572,-0.52563,0.9481,108.42,0.1124,30.54,2.12,0.490,0.501,0.062,0.0069,0.0500
22725,-49.58399,-29.98392,-19.60007,-6.50444,-12.57524,-0.52039,0.9471,18.54,0.0192,30.21,2.18,0.490,0.501,0.062,0.0069,0.0500
22750,-49.55978,-29.93242,-19.62736,-6.48490,-12.61018,-0.53228,0.9442,18.55,0.0192,29.96,2.10,0.490,0.501,0.062,0.0069,0.0500
22775,-49.59700,-29.98439,-19.61261,-6.50029,-12.59969,-0.51262,0.9465,18.52,0.0192,29.99,2.13,0.490,0.501,0.062,0.0069,0.0500
22800,-49.60959,-30.01304,-19.59654,-6.50649,-12.57710,-0.51295,0.9474,18.47,0.0191,30.01,1.92,0.490,0.501,0.062,0.0069,0.0500
22825,-49.59204,-30.01165,-19.58039,-6.48042,-12.56655,-0.53342,0.9436,18.36,0.0190,30.29,1.97,0.490,0.501,0.062,0.0069,0.0500
22850,-49.64891,-30.04194,-19.60698,-6.50487,-12.59086,-0.51125,0.9471,18.41,0.0191,29.96,1.76,0.490,0.501,0.062,0.0069,0.0500
22875,-49.60698,-29.97100,-19.63599,-6.51112,-12.60722,-0.51765,0.9480,18.50,0.0192,30.20,1.47,0.490,0.501,0.062,0.0069,0.0500
22900,-49.69032,-30.05827,-19.63205,-6.52139,-12.58979,-0.52086,0.9495,18.59,0.0193,30.01,1.85,0.490,0.501,0.062,0.0069,0.0500
22925,-49.71656,-30.09646,-19.62010,-6.51646,-12.57913,-0.52450,0.9488,18.67,0.0193,30.00,1.85,0.490,0.501,0.062,0.0069,0.0500
22950,-49.61863,-30.01425,-19.60438,-6.51339,-12.56138,-0.52961,0.9484,18.63,0.0193,29.90,1.23,0.490,0.501,0.062,0.0069,0.0500
22975,-49.67504,-30.06223,-19.61281,-6.50890,-12.57929,-0.52462,0.9477,18.50,0.0192,30.00,1.24,0.490,0.501,0.062,0.0069,0.0500
23000,-49.62464,-30.00989,-19.61475,-6.51065,-12.58723,-0.51687,0.9480,18.54,0.0192,30.04,1.77,0.490,0.501,0.059,0.0066,0.0500
23025,-49.67936,-30.08314,-19.59621,-6.50705,-12.55540,-0.53376,0.9474,18.55,0.0192,29.81,1.24,0.490,0.501,0.059,0.0066,0.0500
23050,-49.67782,-30.07478,-19.60304,-6.51157,-12.57286,-0.51861,0.9481,18.60,0.0193,29.81,1.24,0.490,0.501,0.059,0.0066,0.0500
23075,-49.61353,-30.01860,-19.59493,-6.51505,-12.56466,-0.51523,0.9486,18.59,0.0193,29.73,1.08,0.490,0.501,0.059,0.0066,0.0500
