cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-9.57709,-4.61948,-4.95761,-0.32969,-3.83664,-0.79128,0.1199,-17.57,-0.0182,30.48,0.85,0.374,0.714,1.337,0.1500,0.0500
25,-15.59190,-5.15318,-10.43872,-1.65810,-8.22405,-0.55656,0.6028,63.06,0.0653,31.55,2.05,0.290,0.686,1.207,0.1354,0.0500
50,-15.96645,-5.29445,-10.67199,-1.84133,-8.24068,-0.58998,0.6695,-26.23,-0.0272,31.11,2.74,0.277,0.672,1.035,0.1161,0.0500
75,-16.41548,-5.50545,-10.91003,-2.12150,-8.23373,-0.55480,0.7713,-25.73,-0.0266,30.97,2.18,0.275,0.657,0.934,0.1048,0.0500
100,-16.61718,-5.63746,-10.97972,-2.16842,-8.25722,-0.55408,0.7884,-13.14,-0.0136,30.91,2.38,0.277,0.643,0.801,0.0898,0.0500
125,-16.77002,-5.74223,-11.02779,-2.22406,-8.22137,-0.58236,0.8086,-13.54,-0.0140,30.84,0.73,0.282,0.627,0.722,0.0811,0.0500
150,-17.01680,-5.86354,-11.15326,-2.34321,-8.24233,-0.56772,0.8519,-14.79,-0.0153,30.73,0.74,0.291,0.611,0.619,0.0695,0.0500
175,-17.05436,-5.90673,-11.14762,-2.37379,-8.23614,-0.53770,0.8630,-15.49,-0.0161,30.70,1.35,0.303,0.596,0.559,0.0627,0.0500
200,-17.13306,-5.93861,-11.19445,-2.41384,-8.19773,-0.58288,0.8776,-18.32,-0.0190,30.89,0.93,0.315,0.584,0.479,0.0538,0.0500
225,-17.12704,-5.95392,-11.17313,-2.40354,-8.19653,-0.57305,0.8739,-18.82,-0.0195,31.32,1.63,0.330,0.575,0.433,0.0485,0.0500
250,-17.13263,-5.96323,-11.16940,-2.39312,-8.19816,-0.57813,0.8701,-109.39,-0.1132,31.21,3.95,0.346,0.567,0.410,0.0460,0.0500
275,-17.27657,-6.02678,-11.24979,-2.42851,-8.25288,-0.56840,0.8829,-18.52,-0.0192,31.46,1.47,0.359,0.561,0.409,0.0459,0.0500
300,-17.28622,-6.06638,-11.21984,-2.41430,-8.21594,-0.58959,0.8778,-18.42,-0.0191,30.99,1.32,0.370,0.556,0.387,0.0435,0.0500
325,-17.33684,-6.10356,-11.23328,-2.41891,-8.22465,-0.58972,0.8794,-18.41,-0.0191,30.94,1.02,0.380,0.552,0.387,0.0434,0.0500
350,-17.24483,-6.10082,-11.14401,-2.44060,-8.12997,-0.57344,0.8873,-19.65,-0.0204,31.13,1.14,0.388,0.548,0.366,0.0411,0.0500
375,-17.33307,-6.11809,-11.21498,-2.43667,-8.18490,-0.59340,0.8859,-20.24,-0.0210,30.98,1.03,0.396,0.546,0.365,0.0410,0.0500
400,-17.38616,-6.20180,-11.18436,-2.45142,-8.13595,-0.59700,0.8913,-20.66,-0.0214,30.99,1.12,0.403,0.543,0.383,0.0429,0.0500
425,-17.40100,-6.20310,-11.19789,-2.45979,-8.16810,-0.57000,0.8943,-21.41,-0.0222,30.99,1.20,0.408,0.541,0.345,0.0387,0.0500
450,-17.39715,-6.18065,-11.21650,-2.45651,-8.18231,-0.57768,0.8931,-21.26,-0.0220,30.96,1.07,0.413,0.539,0.362,0.0406,0.0500
475,-17.43400,-6.22615,-11.20785,-2.46832,-8.15946,-0.58007,0.8974,-20.55,-0.0213,30.91,0.97,0.417,0.536,0.361,0.0405,0.0500
500,-17.44290,-6.25714,-11.18576,-2.45032,-8.13811,-0.59732,0.8909,-109.98,-0.1139,30.86,1.50,0.422,0.535,0.342,0.0384,0.0500
525,-17.45624,-6.20921,-11.24703,-2.44784,-8.20570,-0.59349,0.8900,-20.29,-0.0210,30.40,2.53,0.426,0.533,0.341,0.0383,0.0500
550,-17.42136,-6.21569,-11.20568,-2.48480,-8.15111,-0.56977,0.9034,-19.99,-0.0207,30.66,1.91,0.429,0.531,0.357,0.0401,0.0500
575,-17.46530,-6.26116,-11.20414,-2.47183,-8.15615,-0.57616,0.8987,-20.30,-0.0210,30.82,1.97,0.432,0.530,0.356,0.0400,0.0500
600,-17.41486,-6.20890,-11.20596,-2.48795,-8.14074,-0.57727,0.9045,-20.41,-0.0211,31.03,1.91,0.435,0.529,0.338,0.0379,0.0500
625,-17.45588,-6.24103,-11.21486,-2.45106,-8.15786,-0.60594,0.8911,-19.65,-0.0203,30.74,2.58,0.437,0.528,0.337,0.0378,0.0500
650,-17.51142,-6.29813,-11.21329,-2.46600,-8.13719,-0.61010,0.8966,-19.17,-0.0199,30.83,2.63,0.440,0.527,0.353,0.0396,0.0500
675,-17.51206,-6.27861,-11.23345,-2.46420,-8.18147,-0.58779,0.8959,-19.76,-0.0205,30.72,1.31,0.442,0.526,0.352,0.0395,0.0500
700,-17.51022,-6.28220,-11.22802,-2.47078,-8.17799,-0.57925,0.8983,-16.10,-0.0167,30.40,1.90,0.444,0.525,0.333,0.0374,0.0500
725,-17.54532,-6.35055,-11.19477,-2.46337,-8.13363,-0.59777,0.8956,-17.15,-0.0178,30.64,2.64,0.446,0.524,0.333,0.0373,0.0500
750,-17.64548,-6.45952,-11.18596,-2.45899,-8.13488,-0.59209,0.8940,-18.02,-0.0187,31.19,3.63,0.447,0.523,0.315,0.0354,0.0500
775,-17.65384,-6.39857,-11.25527,-2.47525,-8.18245,-0.59757,0.8999,-111.16,-0.1151,30.94,4.10,0.449,0.523,0.314,0.0353,0.0500
800,-17.72947,-6.49353,-11.23594,-2.47179,-8.15273,-0.61142,0.8987,75.27,0.0776,30.79,4.62,0.450,0.522,0.329,0.0369,0.0500
825,-17.70640,-6.48853,-11.21787,-2.47401,-8.14782,-0.59603,0.8995,-14.10,-0.0145,30.50,4.88,0.452,0.522,0.328,0.0369,0.0500
850,-17.67390,-6.44423,-11.22967,-2.48024,-8.17110,-0.57833,0.9017,75.74,0.0781,30.88,4.95,0.453,0.521,0.344,0.0386,0.0500
875,-17.64782,-6.41381,-11.23400,-2.46473,-8.16854,-0.60073,0.8961,-14.47,-0.0149,30.57,5.02,0.455,0.521,0.343,0.0385,0.0500
900,-17.66230,-6.39323,-11.26907,-2.45901,-8.21479,-0.59527,0.8940,-18.57,-0.0192,30.78,4.69,0.456,0.520,0.325,0.0365,0.0500
925,-17.61110,-6.41755,-11.19355,-2.41295,-8.17447,-0.60613,0.8773,-13.30,-0.0137,31.26,4.20,0.457,0.520,0.324,0.0364,0.0500
950,-17.62420,-6.40552,-11.21868,-2.42260,-8.21786,-0.57822,0.8808,76.40,0.0788,31.00,4.61,0.458,0.519,0.340,0.0381,0.0500
975,-17.71029,-6.50159,-11.20870,-2.42022,-8.18134,-0.60713,0.8799,-13.38,-0.0138,30.82,5.07,0.459,0.519,0.307,0.0344,0.0500
1000,-17.81060,-6.52643,-11.28417,-2.44140,-8.24321,-0.59956,0.8876,76.21,0.0786,30.70,4.83,0.460,0.518,0.321,0.0360,0.0500
1025,-17.75823,-6.51950,-11.23873,-2.42839,-8.20042,-0.60992,0.8829,-13.96,-0.0144,30.79,4.81,0.461,0.518,0.320,0.0359,0.0500
1050,-17.76188,-6.50082,-11.26106,-2.42282,-8.21683,-0.62141,0.8809,-15.84,-0.0163,30.42,5.05,0.462,0.517,0.304,0.0341,0.0500
1075,-17.68222,-6.39804,-11.28419,-2.44168,-8.23661,-0.60589,0.8877,-14.19,-0.0146,30.75,4.43,0.463,0.517,0.303,0.0340,0.0500
1100,-17.73060,-6.46574,-11.26486,-2.42497,-8.22749,-0.61240,0.8817,-15.04,-0.0155,30.62,5.43,0.464,0.517,0.287,0.0322,0.0500
1125,-17.71778,-6.46801,-11.24977,-2.41074,-8.21327,-0.62575,0.8765,-11.95,-0.0123,30.92,4.43,0.465,0.516,0.316,0.0355,0.0500
1150,-17.73085,-6.46876,-11.26210,-2.43490,-8.22203,-0.60516,0.8853,-12.57,-0.0129,31.04,4.05,0.466,0.516,0.331,0.0372,0.0500
1175,-17.71820,-6.51160,-11.20660,-2.42123,-8.16322,-0.62215,0.8803,-10.46,-0.0108,30.56,3.70,0.467,0.516,0.331,0.0371,0.0500
1200,-17.81373,-6.56604,-11.24769,-2.41995,-8.21235,-0.61540,0.8798,-9.53,-0.0098,31.13,4.45,0.467,0.515,0.313,0.0351,0.0500
1225,-17.84922,-6.58472,-11.26450,-2.43368,-8.22072,-0.61011,0.8848,-10.03,-0.0103,31.06,5.07,0.468,0.515,0.283,0.0317,0.0500
1250,-17.86463,-6.59231,-11.27232,-2.42007,-8.23272,-0.61954,0.8799,-11.41,-0.0118,31.15,5.04,0.469,0.515,0.327,0.0367,0.0500
