cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-18.35648,-11.52579,-6.83069,-2.19532,-3.86062,-0.77476,0.3196,-0.19,-0.0006,31.78,1.99,0.300,0.690,1.337,0.1500,0.0500
25,-28.92608,-14.02607,-14.90001,-6.46382,-8.03743,-0.39876,0.9412,14.13,0.0455,30.54,0.57,0.201,0.666,1.207,0.1354,0.0500
50,-29.89399,-15.18230,-14.71169,-6.37154,-7.88939,-0.45075,0.9277,14.17,0.0456,29.70,1.93,0.175,0.652,1.035,0.1161,0.0500
75,-30.69119,-15.79482,-14.89636,-6.45230,-8.02563,-0.41843,0.9395,16.48,0.0530,30.22,0.33,0.168,0.637,0.934,0.1048,0.0500
99,-31.29435,-16.44396,-14.85039,-6.44869,-7.95803,-0.44367,0.9389,15.89,0.0512,30.19,0.33,0.160,0.624,0.801,0.0898,0.0500
