cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-17.88866,-11.67987,-6.20879,-1.90550,-3.53371,-0.76958,0.2774,-17.52,-0.0182,31.45,2.45,0.304,0.687,1.337,0.1500,0.0500
25,-29.20124,-13.96786,-15.23337,-6.53776,-8.35032,-0.34529,0.9519,-21.15,-0.0219,30.89,2.86,0.193,0.664,1.207,0.1354,0.0500
50,-30.45627,-15.22980,-15.22647,-6.52231,-8.31169,-0.39247,0.9497,-21.43,-0.0222,30.48,0.76,0.173,0.652,1.035,0.1161,0.0500
75,-31.42744,-16.24475,-15.18269,-6.51710,-8.26394,-0.40166,0.9489,-22.17,-0.0230,30.34,0.79,0.160,0.637,0.934,0.1048,0.0500
100,-32.23460,-17.02591,-15.20869,-6.50618,-8.28864,-0.41387,0.9473,-21.77,-0.0226,30.21,0.78,0.152,0.622,0.801,0.0898,0.0500
125,-32.64103,-17.48433,-15.15670,-6.48006,-8.23927,-0.43738,0.9435,-22.14,-0.0229,30.17,0.82,0.147,0.606,0.722,0.0811,0.0500
150,-33.06072,-17.84768,-15.21304,-6.52742,-8.27098,-0.41464,0.9504,-21.32,-0.0221,30.04,0.44,0.145,0.589,0.619,0.0695,0.0500
175,-33.40453,-18.24176,-15.16277,-6.48648,-8.23796,-0.43833,0.9445,-21.34,-0.0221,30.09,0.94,0.146,0.577,0.559,0.0627,0.0500
200,-33.75676,-18.56298,-15.19378,-6.50095,-8.26322,-0.42961,0.9466,-19.95,-0.0207,30.04,0.90,0.148,0.568,0.479,0.0538,0.0500
225,-33.97120,-18.77529,-15.19591,-6.49554,-8.25330,-0.44707,0.9458,-20.57,-0.0213,29.95,0.54,0.152,0.561,0.433,0.0485,0.0500
250,-34.21699,-19.03633,-15.18067,-6.48618,-8.23953,-0.45496,0.9444,-20.84,-0.0216,29.87,0.49,0.158,0.555,0.371,0.0416,0.0500
275,-34.40539,-19.22670,-15.17869,-6.49003,-8.23767,-0.45099,0.9450,-20.33,-0.0211,29.86,0.55,0.165,0.551,0.335,0.0376,0.0500
300,-34.50329,-19.35053,-15.15276,-6.47266,-8.22335,-0.45675,0.9424,-20.33,-0.0211,29.62,0.89,0.172,0.546,0.287,0.0322,0.0500
325,-34.81131,-19.58264,-15.22867,-6.51868,-8.27190,-0.43809,0.9491,-20.30,-0.0210,29.84,0.62,0.181,0.542,0.259,0.0291,0.0500
350,-34.86034,-19.69034,-15.17001,-6.44220,-8.24163,-0.48618,0.9380,-19.97,-0.0207,29.86,0.61,0.190,0.540,0.222,0.0249,0.0500
375,-35.02583,-19.83563,-15.19020,-6.48887,-8.23942,-0.46191,0.9448,-19.92,-0.0206,29.90,0.98,0.201,0.537,0.200,0.0225,0.0500
400,-35.17575,-19.96288,-15.21287,-6.50197,-8.26072,-0.45018,0.9467,-19.70,-0.0204,29.59,0.92,0.212,0.534,0.172,0.0193,0.0500
