cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-9.78979,-3.98782,-5.80197,-2.10403,-2.92239,-0.77555,0.3064,-33.96,-0.0352,18.91,0.22,0.383,0.689,1.337,0.1500,0.0500
25,-20.48629,-4.30308,-16.18321,-6.61805,-9.23348,-0.33168,0.9636,-41.20,-0.0427,19.63,1.04,0.315,0.654,1.207,0.1354,0.0500
50,-20.50183,-4.36950,-16.13233,-6.58213,-9.15291,-0.39730,0.9584,-35.29,-0.0366,19.64,0.98,0.311,0.642,1.035,0.1161,0.0500
75,-20.64410,-4.53151,-16.11259,-6.59823,-9.09997,-0.41440,0.9607,46.40,0.0481,20.28,1.57,0.308,0.626,0.934,0.1048,0.0500
100,-20.75355,-4.59301,-16.16054,-6.62545,-9.13890,-0.39619,0.9647,48.36,0.0501,20.04,1.29,0.307,0.609,0.801,0.0898,0.0500
125,-20.86217,-4.75765,-16.10452,-6.58997,-9.09186,-0.42270,0.9595,-40.65,-0.0421,19.40,2.13,0.317,0.593,0.722,0.0811,0.0500
150,-20.95356,-4.82123,-16.13233,-6.58923,-9.11724,-0.42586,0.9594,-14.23,-0.0148,19.67,2.64,0.326,0.579,0.619,0.0695,0.0500
175,-20.82869,-4.73050,-16.09819,-6.59568,-9.08473,-0.41777,0.9604,-13.73,-0.0142,19.95,2.26,0.339,0.568,0.559,0.0627,0.0500
200,-21.10405,-4.93859,-16.16546,-6.61233,-9.13326,-0.41986,0.9628,-108.51,-0.1125,19.67,2.63,0.352,0.559,0.479,0.0538,0.0500
225,-21.07556,-4.92945,-16.14612,-6.60718,-9.10960,-0.42934,0.9620,-113.16,-0.1173,20.06,2.27,0.366,0.552,0.433,0.0485,0.0500
250,-21.09451,-4.85803,-16.23648,-6.62212,-9.17977,-0.43459,0.9642,74.58,0.0774,20.52,2.62,0.380,0.546,0.453,0.0508,0.0500
