cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-18.51356,-11.56901,-6.94455,-3.09346,-3.08739,-0.76370,0.2812,-0.44,-0.0005,30.52,0.11,0.248,0.674,1.337,0.1500,0.0500
25,-33.40612,-14.14903,-19.25710,-10.59388,-8.35884,-0.30438,0.9629,-9.37,-0.0097,30.51,0.33,0.197,0.644,1.207,0.1354,0.0500
50,-34.64475,-15.33439,-19.31036,-10.61760,-8.37970,-0.31306,0.9651,-9.56,-0.0099,30.38,0.42,0.173,0.631,1.035,0.1161,0.0500
75,-35.44454,-16.17150,-19.27304,-10.58777,-8.34550,-0.33977,0.9624,-8.68,-0.0090,30.25,0.44,0.160,0.616,0.934,0.1048,0.0500
100,-35.99575,-16.74083,-19.25493,-10.58081,-8.32688,-0.34723,0.9617,-8.74,-0.0091,30.18,0.52,0.153,0.600,0.801,0.0898,0.0500
125,-36.45611,-17.21002,-19.24609,-10.57476,-8.29946,-0.37187,0.9612,-9.06,-0.0094,30.12,0.53,0.149,0.583,0.722,0.0811,0.0500
150,-36.85153,-17.56106,-19.29047,-10.59984,-8.32504,-0.36559,0.9635,-9.14,-0.0095,30.06,0.44,0.148,0.568,0.619,0.0695,0.0500
175,-37.30235,-18.01488,-19.28747,-10.61348,-8.31303,-0.36097,0.9647,-9.18,-0.0095,30.08,0.96,0.149,0.557,0.559,0.0627,0.0500
200,-37.57195,-18.27574,-19.29621,-10.62843,-8.32510,-0.34268,0.9660,-6.19,-0.0064,30.04,0.66,0.152,0.549,0.479,0.0538,0.0500
225,-37.80288,-18.53488,-19.26800,-10.58551,-8.30813,-0.37435,0.9621,-6.52,-0.0068,29.89,0.48,0.156,0.544,0.433,0.0485,0.0500
250,-38.08183,-18.83911,-19.24272,-10.58872,-8.27932,-0.37468,0.9624,-6.58,-0.0068,29.81,0.45,0.162,0.540,0.371,0.0416,0.0500
275,-38.33393,-19.04184,-19.29209,-10.62099,-8.29796,-0.37315,0.9654,-6.46,-0.0067,29.78,0.46,0.169,0.537,0.335,0.0376,0.0500
300,-38.40210,-19.13613,-19.26596,-10.59643,-8.30010,-0.36943,0.9631,-6.30,-0.0065,29.76,0.46,0.177,0.534,0.287,0.0322,0.0500
325,-38.59781,-19.33623,-19.26158,-10.57039,-8.29925,-0.39194,0.9608,-6.12,-0.0063,29.75,0.46,0.187,0.531,0.259,0.0291,0.0500
350,-38.76500,-19.50041,-19.26459,-10.56972,-8.30539,-0.38947,0.9607,-6.08,-0.0063,29.76,0.55,0.197,0.529,0.222,0.0249,0.0500
375,-38.95062,-19.67707,-19.27356,-10.59062,-8.29048,-0.39246,0.9626,-5.98,-0.0062,29.76,0.61,0.208,0.527,0.200,0.0225,0.0500
400,-38.98763,-19.69816,-19.28947,-10.60282,-8.30070,-0.38595,0.9637,-6.13,-0.0064,29.76,0.56,0.219,0.525,0.172,0.0193,0.0500
425,-38.95493,-19.73736,-19.21758,-10.55762,-8.26622,-0.39374,0.9596,-5.92,-0.0061,29.72,0.51,0.231,0.523,0.155,0.0174,0.0500
450,-39.04417,-19.81268,-19.23149,-10.57064,-8.26774,-0.39311,0.9608,-5.94,-0.0062,29.68,0.48,0.244,0.522,0.133,0.0149,0.0500
475,-39.10178,-19.86226,-19.23952,-10.60561,-8.25372,-0.38019,0.9640,-5.99,-0.0062,29.68,0.48,0.257,0.521,0.133,0.0149,0.0500
500,-39.27475,-19.97918,-19.29557,-10.59770,-8.30798,-0.38988,0.9633,-2.75,-0.0028,29.67,0.48,0.269,0.520,0.126,0.0141,0.0500
525,-39.38324,-20.09768,-19.28556,-10.59383,-8.30058,-0.39115,0.9629,-2.51,-0.0026,29.65,0.49,0.280,0.519,0.125,0.0141,0.0500
550,-39.30028,-20.05003,-19.25025,-10.59070,-8.27192,-0.38763,0.9626,-2.53,-0.0026,29.65,0.52,0.290,0.519,0.119,0.0133,0.0500
575,-39.39527,-20.17330,-19.22197,-10.56728,-8.25793,-0.39675,0.9605,-2.63,-0.0027,29.64,0.49,0.300,0.518,0.118,0.0133,0.0500
600,-39.58125,-20.27489,-19.30637,-10.60202,-8.31281,-0.39154,0.9636,-2.58,-0.0027,29.62,0.50,0.308,0.518,0.124,0.0139,0.0500
625,-39.49888,-20.26921,-19.22967,-10.56655,-8.26671,-0.39640,0.9604,-2.49,-0.0026,29.61,0.50,0.316,0.517,0.124,0.0139,0.0500
650,-39.48675,-20.21497,-19.27179,-10.56882,-8.30983,-0.39314,0.9606,-2.57,-0.0027,29.64,0.55,0.323,0.517,0.130,0.0145,0.0500
