cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
8925,-40.88034,-20.91812,-19.96222,-6.59766,-12.88176,-0.48280,0.9606,23.81,0.0184,41.40,4.15,0.474,0.499,0.085,0.0095,0.0500
8950,-40.82043,-20.88325,-19.93718,-6.57826,-12.86477,-0.49415,0.9578,-66.04,-0.0512,41.08,3.97,0.474,0.499,0.085,0.0095,0.0500
8975,-40.96281,-20.96996,-19.99284,-6.59783,-12.90761,-0.48740,0.9607,24.24,0.0188,41.20,3.64,0.474,0.499,0.085,0.0095,0.0500
9000,-40.85867,-20.93649,-19.92218,-6.57920,-12.84212,-0.50087,0.9580,-65.77,-0.0509,41.42,3.77,0.474,0.499,0.089,0.0100,0.0500
9025,-40.94708,-20.99157,-19.95551,-6.57263,-12.90098,-0.48191,0.9570,-66.00,-0.0511,41.38,3.68,0.474,0.499,0.089,0.0100,0.0500
9050,-40.88489,-20.95272,-19.93217,-6.58864,-12.86524,-0.47829,0.9593,24.22,0.0188,41.49,3.62,0.474,0.499,0.089,0.0100,0.0500
9075,-40.96501,-21.00207,-19.96294,-6.58450,-12.90060,-0.47784,0.9587,24.44,0.0189,41.44,3.64,0.474,0.499,0.089,0.0100,0.0500
9100,-41.00899,-21.07476,-19.93424,-6.57500,-12.86345,-0.49579,0.9573,24.42,0.0189,41.88,3.44,0.474,0.499,0.089,0.0100,0.0500
9125,-41.04523,-21.10071,-19.94453,-6.59158,-12.87007,-0.48288,0.9598,24.51,0.0190,41.23,3.61,0.474,0.499,0.089,0.0100,0.0500
9150,-41.04819,-21.07666,-19.97153,-6.60064,-12.89699,-0.47391,0.9611,24.34,0.0189,41.23,3.52,0.474,0.499,0.089,0.0100,0.0500
9175,-41.04878,-21.07053,-19.97825,-6.58721,-12.90523,-0.48581,0.9591,24.54,0.0190,41.19,3.45,0.474,0.499,0.089,0.0100,0.0500
9200,-41.00222,-21.04991,-19.95232,-6.58627,-12.87983,-0.48622,0.9590,-65.26,-0.0505,41.16,3.64,0.474,0.499,0.089,0.0100,0.0500
9225,-41.02028,-21.06797,-19.95231,-6.60349,-12.87562,-0.47320,0.9615,24.95,0.0193,41.23,3.50,0.474,0.499,0.089,0.0100,0.0500
9250,-41.03765,-21.08847,-19.94918,-6.59044,-12.87046,-0.48828,0.9596,25.02,0.0194,41.23,3.58,0.474,0.499,0.089,0.0100,0.0500
9275,-40.97733,-21.02099,-19.95634,-6.58900,-12.88388,-0.48346,0.9594,24.58,0.0190,41.26,3.54,0.474,0.498,0.089,0.0100,0.0500
9300,-41.03498,-21.09155,-19.94344,-6.58995,-12.87381,-0.47968,0.9595,24.57,0.0190,41.01,3.71,0.474,0.498,0.089,0.0100,0.0500
9325,-41.03536,-21.08373,-19.95164,-6.58749,-12.87223,-0.49192,0.9592,24.21,0.0187,41.45,3.22,0.474,0.498,0.089,0.0100,0.0500
9350,-41.05602,-21.08407,-19.97195,-6.58750,-12.89307,-0.49138,0.9592,24.14,0.0187,41.08,3.27,0.474,0.498,0.089,0.0100,0.0500
9375,-41.07090,-21.15326,-19.91765,-6.57615,-12.85587,-0.48563,0.9575,24.16,0.0187,41.66,2.71,0.474,0.498,0.089,0.0100,0.0500
9400,-41.04715,-21.08234,-19.96482,-6.59308,-12.89451,-0.47722,0.9600,24.13,0.0187,41.47,2.86,0.474,0.498,0.089,0.0100,0.0500
9425,-41.05061,-21.10971,-19.94090,-6.58384,-12.87204,-0.48503,0.9586,113.93,0.0882,40.85,3.38,0.474,0.498,0.089,0.0100,0.0500
9450,-41.12532,-21.13520,-19.99012,-6.60104,-12.89734,-0.49174,0.9611,113.84,0.0882,41.24,3.38,0.474,0.498,0.089,0.0100,0.0500
9475,-41.02228,-21.06720,-19.95508,-6.60021,-12.88447,-0.47040,0.9610,113.89,0.0882,41.25,3.26,0.474,0.498,0.089,0.0100,0.0500
9500,-41.01881,-21.06633,-19.95248,-6.59136,-12.88131,-0.47981,0.9597,23.75,0.0184,40.91,3.60,0.474,0.498,0.089,0.0100,0.0500
9525,-41.02415,-21.04846,-19.97569,-6.59780,-12.88843,-0.48946,0.9607,23.79,0.0184,41.55,2.89,0.474,0.498,0.089,0.0100,0.0500
9550,-41.00501,-21.06884,-19.93617,-6.58916,-12.86978,-0.47723,0.9594,113.93,0.0882,41.46,2.99,0.474,0.498,0.089,0.0100,0.0500
9575,-40.98745,-21.06368,-19.92377,-6.56484,-12.86587,-0.49305,0.9559,24.01,0.0186,42.12,2.94,0.475,0.498,0.089,0.0100,0.0500
9600,-40.99948,-21.08439,-19.91508,-6.57176,-12.85167,-0.49166,0.9569,24.07,0.0186,41.30,3.71,0.475,0.498,0.089,0.0100,0.0500
9625,-41.05240,-21.09647,-19.95594,-6.58448,-12.88866,-0.48280,0.9587,24.29,0.0188,41.30,3.67,0.475,0.498,0.089,0.0100,0.0500
9650,-41.03233,-21.09528,-19.93704,-6.58891,-12.87024,-0.47789,0.9594,24.51,0.0190,41.38,3.68,0.475,0.498,0.089,0.0100,0.0500
9675,-41.08467,-21.08758,-19.99709,-6.60355,-12.91118,-0.48235,0.9615,24.52,0.0190,41.30,3.89,0.475,0.498,0.089,0.0100,0.0500
9700,-41.01374,-21.05618,-19.95756,-6.58654,-12.87265,-0.49837,0.9590,24.47,0.0190,41.27,3.83,0.475,0.498,0.089,0.0100,0.0500
9725,-41.06283,-21.12869,-19.93414,-6.58796,-12.86193,-0.48426,0.9592,24.40,0.0189,41.24,4.06,0.475,0.498,0.089,0.0100,0.0500
9750,-41.02940,-21.11278,-19.91662,-6.58422,-12.84930,-0.48309,0.9587,24.44,0.0189,41.11,3.94,0.475,0.498,0.089,0.0100,0.0500
9775,-41.10903,-21.11726,-19.99177,-6.61264,-12.90034,-0.47878,0.9628,24.23,0.0188,40.99,4.19,0.475,0.498,0.089,0.0100,0.0500
9800,-41.16735,-21.19000,-19.97735,-6.58312,-12.90460,-0.48963,0.9585,-65.62,-0.0508,40.81,4.10,0.475,0.498,0.089,0.0100,0.0500
9825,-41.07360,-21.13766,-19.93594,-6.58662,-12.86716,-0.48216,0.9590,24.26,0.0188,41.15,3.88,0.475,0.498,0.089,0.0100,0.0500
9850,-41.08545,-21.13939,-19.94607,-6.60027,-12.86980,-0.47600,0.9610,24.13,0.0187,40.82,4.07,0.475,0.498,0.089,0.0100,0.0500
9875,-41.08437,-21.12835,-19.95601,-6.59747,-12.87512,-0.48343,0.9606,24.32,0.0188,40.85,3.98,0.475,0.498,0.089,0.0100,0.0500
9900,-41.10839,-21.15257,-19.95581,-6.57589,-12.89497,-0.48495,0.9575,24.19,0.0187,40.63,4.10,0.475,0.498,0.089,0.0100,0.0500
9925,-41.07621,-21.13004,-19.94617,-6.58362,-12.87150,-0.49104,0.9586,24.36,0.0189,40.78,4.10,0.475,0.498,0.089,0.0100,0.0500
9950,-41.11211,-21.17115,-19.94096,-6.58308,-12.87614,-0.48174,0.9585,24.38,0.0189,41.41,3.62,0.475,0.498,0.089,0.0100,0.0500
9975,-41.10355,-21.13186,-19.97169,-6.59968,-12.89215,-0.47986,0.9609,24.34,0.0189,41.15,3.56,0.475,0.498,0.089,0.0100,0.0500
10000,-41.16012,-21.22656,-19.93356,-6.58799,-12.86792,-0.47764,0.9592,24.55,0.0190,41.36,3.61,0.475,0.498,0.084,0.0095,0.0500
10025,-41.10916,-21.15240,-19.95676,-6.57976,-12.87680,-0.50019,0.9580,24.85,0.0193,41.31,3.76,0.475,0.498,0.084,0.0095,0.0500
